Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2/20/2015,LT,EQ,1698.55,1700,1714.8,1671.5,1680.6,1677.6,1690.91,3581711,6.05634E+14,101523,2297298,0.6414
2/23/2015,LT,EQ,1677.6,1686.45,1711.9,1679.35,1681,1687,1697.35,2372609,4.02716E+14,77542,1322638,0.5575
2/24/2015,LT,EQ,1687,1691.45,1724.5,1690.05,1722.3,1721.1,1709.81,2124338,3.6322E+14,72081,1081981,0.5093
2/25/2015,LT,EQ,1721.1,1725,1734.8,1686,1693.9,1697.9,1714.02,1840117,3.15399E+14,63433,949521,0.516
2/26/2015,LT,EQ,1697.9,1699,1700.75,1670,1690.55,1678.05,1685.55,1911784,3.2224E+14,63238,703618,0.368
2/27/2015,LT,EQ,1678.05,1702.8,1765,1700,1762.55,1758.95,1747.05,4269703,7.45937E+14,133451,2183744,0.5115
2/28/2015,LT,EQ,1758.95,1780,1799.9,1716,1759,1768.1,1765.88,4728380,8.34975E+14,128660,1172121,0.2479
3/2/2015,LT,EQ,1768.1,1782,1850,1782,1849.9,1846.1,1827.63,4851329,8.86643E+14,160207,2416834,0.4982
3/3/2015,LT,EQ,1846.1,1850,1859,1828.1,1852.7,1851.65,1844.18,2377803,4.38511E+14,89197,1024438,0.4308
3/4/2015,LT,EQ,1851.65,1870,1893.8,1817,1840,1837.9,1856.34,3304664,6.13459E+14,86358,1780145,0.5387
3/5/2015,LT,EQ,1837.9,1842.25,1846.45,1795,1831.1,1826.05,1819.32,1887700,3.43434E+14,65852,801466,0.4246
3/9/2015,LT,EQ,1826.05,1817.2,1821.6,1755,1757.95,1762.3,1786.06,1577677,2.81783E+14,67441,646151,0.4096
3/10/2015,LT,EQ,1762.3,1769,1789.6,1724.05,1758.7,1752.45,1759.2,1778953,3.12953E+14,60650,680858,0.3827
3/11/2015,LT,EQ,1752.45,1764.85,1765.5,1732.2,1739,1739.7,1745.58,1878349,3.27881E+14,69080,963081,0.5127
3/12/2015,LT,EQ,1739.7,1750,1765,1740.15,1743.85,1747.4,1751.51,1658911,2.9056E+14,53827,1019390,0.6145
3/13/2015,LT,EQ,1747.4,1766.3,1769.35,1683.2,1694.05,1692.15,1717.26,2320083,3.98419E+14,77680,1115755,0.4809
3/16/2015,LT,EQ,1692.15,1698,1709.9,1671.3,1679.85,1679.8,1688.19,1329919,2.24516E+14,53991,564614,0.4245
3/17/2015,LT,EQ,1679.8,1696,1723,1683.2,1722,1715.65,1702.3,1452061,2.47184E+14,64908,625169,0.4305
3/18/2015,LT,EQ,1715.65,1725.05,1727.5,1692.7,1695,1699.05,1711.33,1287386,2.20314E+14,53646,558427,0.4338
3/19/2015,LT,EQ,1699.05,1721.05,1738.95,1670,1675,1682.4,1715.93,2097375,3.59895E+14,88120,1117394,0.5328
3/20/2015,LT,EQ,1682.4,1683.2,1697.45,1653.05,1674,1670.35,1681.35,1685674,2.83421E+14,66108,789846,0.4686
3/23/2015,LT,EQ,1670.35,1682.3,1690,1663,1674.4,1672.85,1677.55,1121588,1.88152E+14,47532,547777,0.4884
3/24/2015,LT,EQ,1672.85,1673.55,1688.8,1656,1670.6,1672.15,1674.78,1395832,2.33771E+14,44437,611970,0.4384
3/25/2015,LT,EQ,1672.15,1673,1676.85,1626.35,1630.2,1632.75,1642.88,1682841,2.7647E+14,85520,824133,0.4897
3/26/2015,LT,EQ,1632.75,1622,1665,1613.45,1643.1,1634.45,1641.38,3488192,5.72546E+14,89999,2272056,0.6514
3/27/2015,LT,EQ,1634.45,1650.1,1685.6,1642,1682,1677.75,1664.51,3183228,5.29852E+14,209334,1969852,0.6188
3/30/2015,LT,EQ,1677.75,1690,1734,1683.5,1733.8,1728.75,1713.85,2239339,3.83789E+14,121239,1305266,0.5829
3/31/2015,LT,EQ,1728.75,1735.05,1747,1711.25,1718,1719.65,1727.9,1875722,3.24106E+14,65273,922295,0.4917
4/1/2015,LT,EQ,1719.65,1721.65,1739.1,1718,1737.3,1734.25,1730.22,1000220,1.7306E+14,41967,309582,0.3095
4/6/2015,LT,EQ,1734.25,1736.55,1764.3,1722.2,1756,1757.9,1742.38,1821386,3.17355E+14,101831,1025916,0.5633
4/7/2015,LT,EQ,1757.9,1770.25,1782.7,1748.25,1770,1769.7,1768.02,1428322,2.5253E+14,52290,548443,0.384
4/8/2015,LT,EQ,1769.7,1774.9,1787.25,1761.2,1778,1779.45,1777.39,1377962,2.44917E+14,76421,624466,0.4532
4/9/2015,LT,EQ,1779.45,1785,1788,1755.6,1767.2,1770.8,1770.67,1135253,2.01016E+14,52019,480849,0.4236
4/10/2015,LT,EQ,1770.8,1770,1778,1750,1759.15,1764,1762.57,943728,1.66338E+14,45054,400499,0.4244
4/13/2015,LT,EQ,1764,1780.25,1807,1771.25,1800.6,1803.5,1791.3,1572209,2.8163E+14,59267,648025,0.4122
4/15/2015,LT,EQ,1803.5,1804,1819.95,1767.9,1769.3,1787.65,1809.51,1520329,2.75105E+14,63886,820752,0.5399
4/16/2015,LT,EQ,1787.65,1788,1788,1740,1753.5,1754.3,1759.28,1501255,2.64113E+14,66674,690236,0.4598
4/17/2015,LT,EQ,1754.3,1760.1,1766.4,1730.1,1736.9,1739.75,1750.12,998665,1.74778E+14,31316,465634,0.4663
4/20/2015,LT,EQ,1739.75,1741.9,1741.9,1669,1701.7,1698.45,1709.36,1583554,2.70686E+14,71434,819773,0.5177
4/21/2015,LT,EQ,1698.45,1698,1720.4,1680,1688.75,1688.75,1704.37,1378194,2.34895E+14,56221,665216,0.4827
4/22/2015,LT,EQ,1688.75,1694.8,1752,1685.75,1749.2,1745.6,1713.9,1850766,3.17203E+14,91233,899742,0.4861
4/23/2015,LT,EQ,1745.6,1755,1762.4,1713.05,1720.6,1724.1,1735.1,1698155,2.94647E+14,71248,611685,0.3602
4/24/2015,LT,EQ,1724.1,1722,1725.8,1670,1683.85,1678.6,1689.24,1458168,2.4632E+14,77286,676723,0.4641
4/27/2015,LT,EQ,1678.6,1679.95,1695.85,1657.5,1666.25,1667.7,1676.58,1850014,3.10169E+14,93155,968624,0.5236
4/28/2015,LT,EQ,1667.7,1684.5,1684.5,1636,1661.5,1665.45,1657.54,2207257,3.65863E+14,83545,1159123,0.5251
4/29/2015,LT,EQ,1665.45,1661.6,1672.25,1646,1654.05,1655.25,1659.94,1416757,2.35173E+14,66304,603743,0.4261
4/30/2015,LT,EQ,1655.25,1655.8,1656.7,1625.6,1640.05,1631.3,1634.9,2491685,4.07366E+14,80339,1435596,0.5762
5/4/2015,LT,EQ,1631.3,1640.75,1650.45,1618.1,1632.6,1629.3,1628.01,1637032,2.6651E+14,63458,702502,0.4291
5/5/2015,LT,EQ,1629.3,1635,1665,1626.75,1641.6,1642.4,1648.01,1423615,2.34614E+14,49362,464711,0.3264
5/6/2015,LT,EQ,1642.4,1642.5,1643.9,1558.2,1566,1564.65,1585.72,3229157,5.12053E+14,115139,1828915,0.5664
5/7/2015,LT,EQ,1564.65,1560,1585,1543.6,1568,1568.9,1565.15,2652013,4.15081E+14,174345,1454422,0.5484
5/8/2015,LT,EQ,1568.9,1589,1615,1581.55,1601,1601.25,1602.26,2561524,4.10423E+14,123125,1555307,0.6072
5/11/2015,LT,EQ,1601.25,1611.3,1632,1607.75,1616.5,1615.3,1618.56,2058533,3.33186E+14,83010,1151261,0.5593
5/12/2015,LT,EQ,1615.3,1614.9,1614.9,1555,1555,1559.4,1572.39,2191857,3.44646E+14,137923,1231841,0.562
5/13/2015,LT,EQ,1559.4,1570.05,1595,1560.8,1593.95,1589.7,1580.77,1626373,2.57092E+14,74799,597907,0.3676
5/14/2015,LT,EQ,1589.7,1586.15,1591.9,1570.4,1576.1,1576.85,1579.94,1184764,1.87185E+14,51752,545438,0.4604
5/15/2015,LT,EQ,1576.85,1586.85,1602,1575.5,1589,1591.95,1591.42,1841374,2.9304E+14,71226,867147,0.4709
5/18/2015,LT,EQ,1591.95,1597.4,1616.3,1589,1615,1612.35,1603.69,1194770,1.91605E+14,75932,675265,0.5652
5/19/2015,LT,EQ,1612.35,1614.95,1635,1609,1618.95,1620.7,1622.41,1521198,2.468E+14,73750,703832,0.4627
5/20/2015,LT,EQ,1620.7,1627.95,1635.45,1608,1610.35,1612.55,1619.61,961762,1.55768E+14,45263,382481,0.3977
5/21/2015,LT,EQ,1612.55,1620,1641,1609.35,1640.5,1638.3,1629.51,1634186,2.66293E+14,92478,889537,0.5443
5/22/2015,LT,EQ,1638.3,1640,1662,1632.8,1653.1,1653.45,1650.61,1765110,2.9135E+14,97909,967531,0.5481
5/25/2015,LT,EQ,1653.45,1649.8,1649.8,1625,1631,1630.25,1633.68,931623,1.52198E+14,32380,503874,0.5409
5/26/2015,LT,EQ,1630.25,1636.7,1636.7,1608.5,1618.5,1618.4,1619.11,1373020,2.22307E+14,74799,883672,0.6436
5/27/2015,LT,EQ,1618.4,1620,1645.9,1609.25,1644.85,1635.4,1627.19,1050392,1.70919E+14,55847,528154,0.5028
5/28/2015,LT,EQ,1635.4,1637.1,1640.85,1605,1635,1626.75,1626.08,1755497,2.85458E+14,54007,887003,0.5053
5/29/2015,LT,EQ,1626.75,1630.5,1669.75,1625.7,1660,1654.45,1652.75,2794379,4.61842E+14,143709,1893319,0.6775
6/1/2015,LT,EQ,1654.45,1674,1709,1643,1702,1705.55,1684.78,3591205,6.05038E+14,100176,1797214,0.5004
6/2/2015,LT,EQ,1705.55,1711,1717.8,1667,1671,1673.55,1693.24,2915736,4.93703E+14,100159,1577252,0.5409
6/3/2015,LT,EQ,1673.55,1675,1687.55,1644,1659,1653.65,1662.07,2139998,3.55682E+14,71755,1138754,0.5321
6/4/2015,LT,EQ,1653.65,1658,1680,1645.55,1671.05,1662.45,1662.91,1311447,2.18082E+14,68474,593843,0.4528
6/5/2015,LT,EQ,1662.45,1660,1704,1658.75,1686.95,1683.6,1684.41,1603220,2.70048E+14,58293,833526,0.5199
6/8/2015,LT,EQ,1683.6,1683.7,1706,1671.1,1671.1,1678.75,1689.36,1419688,2.39837E+14,53259,721183,0.508
6/9/2015,LT,EQ,1678.75,1675.95,1685.8,1656,1667.4,1666.9,1669.38,944487,1.57671E+14,36505,407580,0.4315
6/10/2015,LT,EQ,1666.9,1671,1717.9,1670,1708,1706.05,1705.65,1592872,2.71688E+14,70247,767591,0.4819
